epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,56.6704,1.29579,0.86121,0.99023,0.43753,0.000236455,0.000236455,0.000236455
2,114.355,0.45463,0.87953,0.99267,0.38856,0.000455666,0.000455666,0.000455666
3,186.03,0.39716,0.84697,0.98901,0.48199,0.000656028,0.000656028,0.000656028
4,253.625,0.38364,0.89499,0.9943,0.33699,0.000629177,0.000629177,0.000629177
5,318.865,0.31282,0.90517,0.99471,0.32795,0.000600902,0.000600902,0.000600902
6,382.667,0.29027,0.90883,0.99552,0.28943,0.000572628,0.000572628,0.000572628
7,446.408,0.2414,0.89418,0.99471,0.33644,0.000544354,0.000544354,0.000544354
8,510.48,0.20746,0.91412,0.99878,0.25229,0.000516079,0.000516079,0.000516079
9,574.365,0.19412,0.91168,0.99674,0.27201,0.000487805,0.000487805,0.000487805
10,638.926,0.18142,0.92267,0.99471,0.24239,0.00045953,0.00045953,0.00045953
11,699.909,0.16728,0.92552,0.99552,0.26047,0.000431256,0.000431256,0.000431256
12,759.978,0.13903,0.93122,0.99674,0.259,0.000402982,0.000402982,0.000402982
13,820.422,0.12648,0.94221,0.99552,0.20661,0.000374707,0.000374707,0.000374707
14,882.308,0.11271,0.9418,0.99552,0.20477,0.000346433,0.000346433,0.000346433
15,943.463,0.10764,0.94587,0.99634,0.19778,0.000318158,0.000318158,0.000318158
16,1007.38,0.09609,0.9418,0.99715,0.19586,0.000289884,0.000289884,0.000289884
17,1069.98,0.08824,0.94058,0.99674,0.22025,0.00026161,0.00026161,0.00026161
18,1133.04,0.08082,0.95035,0.99756,0.193,0.000233335,0.000233335,0.000233335
19,1197.23,0.06841,0.94831,0.99796,0.18027,0.000205061,0.000205061,0.000205061
20,1260.54,0.05981,0.94831,0.99756,0.1873,0.000176786,0.000176786,0.000176786
21,1330.89,0.05079,0.95319,0.99715,0.1703,0.000148512,0.000148512,0.000148512
22,1401.48,0.0505,0.95197,0.99837,0.17486,0.000120238,0.000120238,0.000120238
23,1464.74,0.04672,0.9536,0.99796,0.17859,9.19632e-05,9.19632e-05,9.19632e-05
24,1532.97,0.03765,0.95401,0.99796,0.16981,6.36888e-05,6.36888e-05,6.36888e-05
25,1601.93,0.03629,0.9536,0.99756,0.17172,3.54144e-05,3.54144e-05,3.54144e-05
